test_set=wmt22 lang=ru-en domain=None level=seg human=False avg_by=none corr_fcn=kendall k=1000 gold=wmt refs={'refA'} close_refs=set() use_outliers=False primary=True pval=0.05 block_size=5 early_min=0.02 early_max=0.5 replace_nans_with_zeros=False perm_test=scores corr_fcn_args={}
BERTScore                 1  0.0185327  . = > = > > > > > = > > > > > > >
f200spBLEU                1  0.0184391  . . = > > > = > = > > > > > > > >
YiSi-1                    2  0.0175585  . . . = = = > > > > > > > > > > >
chrF                      2  0.0150627  . . . . = = = = > = > > > > > > >
BLEURT-20                 2  0.0140188  . . . . . = = = > = = > > > > > >
BLEU                      2  0.0139200  . . . . . . = = = = > > > > > > >
COMET-20                  3  0.0136760  . . . . . . . = = > > > > > > > >
COMET-22                  3  0.0126471  . . . . . . . . = = > > > > > > >
UniTE                     3  0.0120354  . . . . . . . . . = = = > > > > >
metricx_xxl_MQM_2020      4  0.0110453  . . . . . . . . . . > = > > > > >
HWTSC-Teacher-Sim[noref]  5  0.0065927  . . . . . . . . . . . = > > > > >
MS-COMET-22               5  0.0065426  . . . . . . . . . . . . > > > > >
COMETKiwi[noref]          6  0.0013773  . . . . . . . . . . . . . = = > >
UniTE-src[noref]          6  0.0010541  . . . . . . . . . . . . . . = = =
MS-COMET-QE-22[noref]     6 -0.0017345  . . . . . . . . . . . . . . . = >
COMET-QE[noref]           7 -0.0046528  . . . . . . . . . . . . . . . . =
REUSE[noref]              7 -0.0072331  . . . . . . . . . . . . . . . . . 
