test_set=wmt22 lang=ru-en domain=None level=seg human=False avg_by=none corr_fcn=pearson k=1000 gold=wmt refs={'refA'} close_refs=set() use_outliers=False primary=True pval=0.05 block_size=5 early_min=0.02 early_max=0.5 replace_nans_with_zeros=False perm_test=scores corr_fcn_args={}
metricx_xxl_MQM_2020      1  0.0344690  . = = = > > > > > > > > > > > > >
BERTScore                 1  0.0325007  . . = > > > > > > > > > > > > > >
COMET-22                  1  0.0309616  . . . = > > > > > > > > > > > > >
YiSi-1                    2  0.0299652  . . . . > > > > > > > > > > > > >
COMET-20                  3  0.0248632  . . . . . = = > > = = > > > > > >
BLEURT-20                 3  0.0237887  . . . . . . = = = > > > > > > > >
f200spBLEU                3  0.0237533  . . . . . . . = > > > = > > > > >
UniTE                     4  0.0200473  . . . . . . . . = = = = > > > > >
BLEU                      4  0.0198009  . . . . . . . . . = = = > > > > >
chrF                      4  0.0190814  . . . . . . . . . . = = = > > > >
MS-COMET-22               4  0.0184926  . . . . . . . . . . . = > > > > >
HWTSC-Teacher-Sim[noref]  4  0.0104134  . . . . . . . . . . . . = = = > >
COMETKiwi[noref]          5  0.0080508  . . . . . . . . . . . . . = = > >
UniTE-src[noref]          5  0.0068993  . . . . . . . . . . . . . . = > >
MS-COMET-QE-22[noref]     5  0.0025174  . . . . . . . . . . . . . . . = >
COMET-QE[noref]           6 -0.0019848  . . . . . . . . . . . . . . . . >
REUSE[noref]              7 -0.0098070  . . . . . . . . . . . . . . . . . 
