test_set=wmt22 lang=ru-en domain=None level=seg human=False avg_by=none corr_fcn=spearman k=1000 gold=wmt refs={'refA'} close_refs=set() use_outliers=False primary=True pval=0.05 block_size=5 early_min=0.02 early_max=0.5 replace_nans_with_zeros=False perm_test=scores corr_fcn_args={}
BERTScore                 1  0.0275875  . = > = > = > > > > > > > > > > >
f200spBLEU                1  0.0274725  . . = > > > > = > = > > > > > > >
YiSi-1                    2  0.0260423  . . . = > > = = > > > > > > > > >
chrF                      2  0.0223955  . . . . = = = > = > = > > > > > >
BLEURT-20                 3  0.0208518  . . . . . = = = = > = > > > > > >
BLEU                      3  0.0207033  . . . . . . = = = = = > > > > > >
COMET-20                  3  0.0203568  . . . . . . . = = = = > > > > > >
COMET-22                  3  0.0187689  . . . . . . . . = = = > > > > > >
UniTE                     3  0.0178502  . . . . . . . . . = = > > > > > >
metricx_xxl_MQM_2020      4  0.0165064  . . . . . . . . . . = = > > > > >
HWTSC-Teacher-Sim[noref]  4  0.0097934  . . . . . . . . . . . = > = > > >
MS-COMET-22               4  0.0096295  . . . . . . . . . . . . > = > > >
COMETKiwi[noref]          5  0.0019358  . . . . . . . . . . . . . = = > >
UniTE-src[noref]          5  0.0015529  . . . . . . . . . . . . . . = > >
MS-COMET-QE-22[noref]     5 -0.0027203  . . . . . . . . . . . . . . . > =
COMET-QE[noref]           6 -0.0069611  . . . . . . . . . . . . . . . . =
REUSE[noref]              6 -0.0108487  . . . . . . . . . . . . . . . . . 
