test_set=wmt22 lang=uk-en domain=None level=seg human=False avg_by=none corr_fcn=kendall k=1000 gold=wmt refs={'refA'} close_refs=set() use_outliers=False primary=True pval=0.05 block_size=5 early_min=0.02 early_max=0.5 replace_nans_with_zeros=False perm_test=scores corr_fcn_args={}
HWTSC-Teacher-Sim[noref]  1  0.0071577  . = = = = = = = = = = = > = > > >
BLEU                      1  0.0070002  . . = = = > = = > > = > = > = > =
f200spBLEU                1  0.0063454  . . . > = = = = = = = = = > > > =
YiSi-1                    2  0.0044751  . . . . = = = = > > = > > > > > >
UniTE                     2  0.0037112  . . . . . = = = = = = = = = > > =
COMETKiwi[noref]          2  0.0035567  . . . . . . = > = = = > = = = = >
MS-COMET-QE-22[noref]     2  0.0034869  . . . . . . . = = = = = = = > = >
UniTE-src[noref]          3  0.0031734  . . . . . . . . = = = = = = > = >
BERTScore                 3  0.0029996  . . . . . . . . . = > = = = = > =
chrF                      3  0.0026722  . . . . . . . . . . = = = = = > >
BLEURT-20                 4  0.0019698  . . . . . . . . . . . = = = > > >
metricx_xxl_MQM_2020      4  0.0018800  . . . . . . . . . . . . = = > = =
COMET-22                  4  0.0016935  . . . . . . . . . . . . . > = = =
REUSE[noref]              5  0.0001138  . . . . . . . . . . . . . . = = =
MS-COMET-22               5 -0.0004986  . . . . . . . . . . . . . . . > =
COMET-20                  6 -0.0021706  . . . . . . . . . . . . . . . . =
COMET-QE[noref]           6 -0.0022016  . . . . . . . . . . . . . . . . . 
