test_set=wmt22 lang=uk-en domain=None level=seg human=False avg_by=none corr_fcn=pearson k=1000 gold=wmt refs={'refA'} close_refs=set() use_outliers=False primary=True pval=0.05 block_size=5 early_min=0.02 early_max=0.5 replace_nans_with_zeros=False perm_test=scores corr_fcn_args={}
YiSi-1                    1  0.0070919  . = = = = = > = > > > = = = > > >
COMETKiwi[noref]          1  0.0050042  . . = = = = = = = = = > = > = > >
HWTSC-Teacher-Sim[noref]  1  0.0048417  . . . = = = = = = = = = = = = > >
COMET-22                  1  0.0048018  . . . . = = = = = > > = = = = > >
BERTScore                 1  0.0047859  . . . . . = = = = = = = = = > > >
UniTE                     1  0.0044388  . . . . . . = = > = = = > = > = >
BLEU                      2  0.0043907  . . . . . . . = = = = = = = = = >
UniTE-src[noref]          2  0.0039026  . . . . . . . . = > = = = = = > >
f200spBLEU                2  0.0034601  . . . . . . . . . = = = = = = > >
metricx_xxl_MQM_2020      3  0.0031079  . . . . . . . . . . = = = > = > >
MS-COMET-22               3  0.0024720  . . . . . . . . . . . = = = = = >
COMET-20                  3  0.0020356  . . . . . . . . . . . . = > = > >
chrF                      3 -0.0001038  . . . . . . . . . . . . . = = = >
MS-COMET-QE-22[noref]     4 -0.0001108  . . . . . . . . . . . . . . = = >
BLEURT-20                 4 -0.0010207  . . . . . . . . . . . . . . . = >
REUSE[noref]              4 -0.0077515  . . . . . . . . . . . . . . . . =
COMET-QE[noref]           5 -0.0099698  . . . . . . . . . . . . . . . . . 
