test_set=wmt22 lang=uk-en domain=None level=seg human=False avg_by=none corr_fcn=spearman k=1000 gold=wmt refs={'refA'} close_refs=set() use_outliers=False primary=True pval=0.05 block_size=5 early_min=0.02 early_max=0.5 replace_nans_with_zeros=False perm_test=scores corr_fcn_args={}
HWTSC-Teacher-Sim[noref]  1  0.0107210  . > = = > = = = = > = = > = > > >
BLEU                      2  0.0103657  . . = = > = = = > = = = > > > > >
f200spBLEU                2  0.0094324  . . . = = = > = = > = = > > > > >
YiSi-1                    2  0.0066402  . . . . = = = = > = = = > = > = >
UniTE                     3  0.0054786  . . . . . = = = = = > = > = > > >
COMETKiwi[noref]          3  0.0053735  . . . . . . = = = = = = = > = > =
MS-COMET-QE-22[noref]     3  0.0052099  . . . . . . . = = = = = = > > > >
UniTE-src[noref]          3  0.0047144  . . . . . . . . = = = = = = = > >
BERTScore                 3  0.0044428  . . . . . . . . . = = = = = = = >
chrF                      3  0.0039887  . . . . . . . . . . = = = = = > =
BLEURT-20                 4  0.0029415  . . . . . . . . . . . = = = = > >
metricx_xxl_MQM_2020      4  0.0029197  . . . . . . . . . . . . = = = > >
COMET-22                  4  0.0024891  . . . . . . . . . . . . . = = > >
REUSE[noref]              4  0.0001538  . . . . . . . . . . . . . . = = =
MS-COMET-22               4 -0.0007985  . . . . . . . . . . . . . . . = =
COMET-QE[noref]           5 -0.0031935  . . . . . . . . . . . . . . . . =
COMET-20                  5 -0.0032712  . . . . . . . . . . . . . . . . . 
